"Reference","Value","Datasheet","Footprint","Qty","DNP"
"C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C12,C13,C14,C15,C16,C17,C18,C19,C20,C21,C22,C23,C29,C30,C31,C32,C33,C34,C35,C36,C38,C39,C40,C42,C43,C44,C45,C46,C47,C48,C49,C50,C51,C54,C55,C56","0.1uF","~","-- mixed values --","46",""
"C11,C37,C41,C52,C53,C57","470uF","~","Capacitor_THT:CP_Radial_D8.0mm_P3.50mm","6",""
"C24,C26","1000uF","~","Capacitor_THT:CP_Radial_D10.0mm_P5.00mm","2",""
"C25,C27","10uF","~","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","2",""
"C28","0.01uF","~","Capacitor_THT:C_Disc_D4.3mm_W1.9mm_P5.00mm","1",""
"D1,D3,D4","LED","~","LED_THT:LED_D5.0mm","3",""
"D2","1N5822","~","Diode_THT:D_DO-27_P15.24mm_Horizontal","1",""
"HS1","Heatsink","~","Heatsink:Heatsink_Stonecold_HS-S02_13.21x9.53mm","1",""
"J1,J2","Conn_01x02","~","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical","2",""
"J3,J11","Conn_02x05_Odd_Even","~","Connector_IDC:IDC-Header_2x05_P2.54mm_Vertical","2",""
"J4,J5","Conn_01x06","~","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical","2",""
"J6","Conn_02x10_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x10_P2.54mm_Vertical","1",""
"J7","Barrel_Jack_MountingPin","~","Connector_BarrelJack:BarrelJack_Horizontal","1",""
"J8,J9,J10","Conn_02x03_Odd_Even","~","Connector_PinHeader_2.54mm:PinHeader_2x03_P2.54mm_Vertical","3",""
"J12","Screw_Terminal_01x04","~","TerminalBlock:TerminalBlock_bornier-4_P5.08mm","1",""
"J13","Conn_02x20_Odd_Even","~","Connector_IDC:IDC-Header_2x20_P2.54mm_Vertical","1",""
"J14","DIN41612_03x32_ABC","~","Connector_DIN:DIN41612_C_3x32_Female_Vertical_THT","1",""
"J15","Conn_01x05","~","Connector_PinHeader_2.54mm:PinHeader_1x05_P2.54mm_Vertical","1",""
"L1","100uH","~","Inductor_THT:L_Radial_D10.0mm_P5.00mm_Fastron_07M","1",""
"R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R19,R20,R21,R22,R23,R24,R25,R26,R28,R29","4k7","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","26",""
"R17,R18,R27","1k","~","Resistor_THT:R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal","3",""
"SW1","SW_Push","~","Button_Switch_THT:SW_PUSH_6mm_H5mm","1",""
"U1","MC68030RC","","mackerel:PGA169","1",""
"U2,U9","EPM7128","","Package_LCC:PLCC-84_THT-Socket","2",""
"U3","SST39SF040","http://ww1.microchip.com/downloads/en/DeviceDoc/25022B.pdf","Package_DIP:DIP-32_W15.24mm_Socket","1",""
"U4","AS6C4008-55PCN","https://www.alliancememory.com/wp-content/uploads/pdf/AS6C4008.pdf","Package_DIP:DIP-32_W15.24mm_Socket","1",""
"U5","XR68C681","","Package_LCC:PLCC-44_THT-Socket","1",""
"U6","LM2576T-5","http://www.ti.com/lit/ds/symlink/lm2576.pdf","Package_TO_SOT_THT:TO-220-5_Vertical","1",""
"U7","AMS1117-3.3","http://www.advanced-monolithic.com/pdf/ds1117.pdf","Package_TO_SOT_SMD:SOT-223-3_TabPin2","1",""
"U8","DS1233","","Package_TO_SOT_THT:TO-92L_Inline","1",""
"U10","SIMM72","","mackerel:SIMM-72","1",""
"U11","MC68882","","Package_LCC:PLCC-68_THT-Socket","1",""
"U12,U13,U14,U15,U16","74HC245","http://www.ti.com/lit/gpn/sn74HC245","Package_DIP:DIP-20_W7.62mm_Socket","5",""
"X1,X3","CXO_DIP14","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf","Oscillator:Oscillator_DIP-14","2",""
"X2","3.6864MHz","http://cdn-reichelt.de/documents/datenblatt/B400/OSZI.pdf","Oscillator:Oscillator_DIP-8","1",""
